episode,reward,length,avg_reward_100,std_reward_100,policy_loss,entropy,episode_time_s,cumulative_time_s
0,9.364864523305473,11,9.364864523305473,0.0,20.44586944580078,4.201812245629051,0.0135,0.01
1,12.3913052951189,15,10.878084909212188,1.5132203859067141,22.54233169555664,3.863673448562622,0.0178,0.03
2,21.61218933581,20,14.456119718078126,5.208764102721015,42.64718246459961,3.8002059936523436,0.0221,0.05
3,11.823264608162575,13,13.797905940599238,4.6527576488503435,24.58431053161621,4.022124217106746,0.014,0.07
4,24.051396728364857,27,15.84860409815236,5.842942300306876,49.98944854736328,4.606538825564915,0.0279,0.1
5,17.08153055200601,18,16.054091840461304,5.353606728034753,33.80176544189453,4.369868940777248,0.0202,0.12
6,18.445576651130956,17,16.395732527699828,5.026626262445957,35.20900344848633,3.5651694045347324,0.0182,0.14
7,25.80459689782731,36,17.57184057396576,5.638369541805753,38.393707275390625,4.302249040868547,0.0392,0.18
8,25.752616996991364,26,18.480815732079716,5.904975953103916,52.52782440185547,4.1244859878833475,0.029,0.21
9,17.637207414086472,18,18.396454900280393,5.607665972179407,40.04505920410156,4.488178319401211,0.0218,0.23
10,8.957832136564576,11,17.538398285397136,5.99581599218328,14.736572265625,3.3314203782515093,0.0161,0.25
11,8.883938475709524,12,16.817193301256502,6.2189625245496485,22.44324493408203,5.000991960366567,0.0166,0.26
12,17.34325753500646,18,16.85765978077573,5.976630091071551,36.31050491333008,4.1174781454934015,0.0237,0.29
13,13.660982921294698,17,16.62932571938423,5.817769742811275,24.879322052001953,3.995389882256003,0.0231,0.31
14,7.211831086011582,9,16.001492743826052,6.091670917007988,17.27491569519043,4.088085942798191,0.0118,0.33
15,24.803753306530556,22,16.551634028995082,6.271284370506762,60.97916030883789,4.411193598400462,0.0262,0.35
16,25.923831738872508,28,17.102939776634933,6.47136346184325,52.91336441040039,4.547110089233944,0.0342,0.39
17,9.098656587328785,11,16.658257377229035,6.5508457955197645,25.608806610107422,5.2220447713678535,0.014,0.4
18,6.465127979640248,10,16.1217768826191,6.7701975531907435,11.748071670532227,4.22364022731781,0.0122,0.41
19,17.205689205514116,19,16.175972498763848,6.602999492287222,33.5258674621582,4.374327333349931,0.0219,0.44
20,22.17503049912868,22,16.46164192735265,6.569290007747131,42.0904426574707,3.7946303432637993,0.0256,0.46
21,12.234415828481673,16,16.269495286494877,6.47837026545588,25.51789093017578,4.385148644447327,0.0188,0.48
22,35.90545703488044,30,17.12323275381599,7.4953064329622565,72.57511901855469,4.040350834528605,0.0331,0.52
23,46.07639133465101,36,18.32961436135078,9.344089174149852,94.32770538330078,4.242474708292219,0.0414,0.56
24,18.326245876361227,19,18.3294796219512,9.155300258888225,38.306331634521484,4.029294126912167,0.0212,0.58
25,18.580249906995633,21,18.339124632914448,8.977640039851321,36.55680465698242,3.9565252576555525,0.0244,0.61
26,26.953527828404816,37,18.658176603117795,8.958769835187795,55.33989334106445,4.572503315435873,0.0531,0.66
27,90.18444313453769,59,21.212686122097075,15.92426306113754,173.49603271484375,4.1138077347965565,0.0861,0.75
28,41.10152980808971,35,21.89850831816579,16.06262121203751,88.29191589355469,4.380822488239834,0.0461,0.79
29,47.14276477003841,45,22.73998353322821,16.42990796639014,80.6319580078125,3.8460604508717853,0.0592,0.85
30,11.28842045578638,17,22.370578272665572,16.288888259649394,19.973060607910156,4.64687564793755,0.0201,0.87
31,10.201301251029525,12,21.990288365739442,16.171568176122275,18.091007232666016,3.9959441423416138,0.016,0.89
32,5.181774117554371,8,21.480939449127774,16.183224109897317,10.881470680236816,4.30420058965683,0.0099,0.9
