episode,reward,length,is_success,avg_reward_100,std_reward_100,success_rate_100,episode_time_s,cumulative_time_s
1,-6.0055,50,0,-6.0055,0.0,0.0,0.1387,0.14
2,-0.045,1,1,-3.0253,2.9802,0.5,0.0024,0.14
3,-0.048,1,1,-2.0328,2.8091,0.6667,0.0025,0.14
4,-4.9638,50,0,-2.7656,2.7439,0.5,0.1159,0.26
5,-4.7493,50,0,-3.1623,2.5793,0.4,0.1073,0.37
6,-4.4878,50,0,-3.3832,2.4058,0.3333,0.1217,0.49
7,-3.1757,50,0,-3.3536,2.2285,0.2857,0.1143,0.6
8,-2.8874,50,0,-3.2953,2.0903,0.25,0.1042,0.71
9,-3.3254,50,0,-3.2987,1.9708,0.2222,0.1119,0.82
10,-5.6406,50,0,-3.5329,1.9973,0.2,0.0855,0.9
11,-15.0263,50,0,-4.5777,3.8136,0.1818,0.1198,1.02
12,-3.5744,50,0,-4.4941,3.6618,0.1667,0.114,1.14
13,-2.5328,50,0,-4.3432,3.5567,0.1538,0.1209,1.26
14,-4.7974,50,0,-4.3757,3.4294,0.1429,0.1102,1.37
15,-4.7205,50,0,-4.3987,3.3142,0.1333,0.1029,1.47
16,-3.9436,50,0,-4.3702,3.2108,0.125,0.1161,1.59
17,-5.7647,50,0,-4.4523,3.1322,0.1176,0.1019,1.69
18,-5.8065,50,0,-4.5275,3.0597,0.1111,0.1136,1.8
19,-3.7738,50,0,-4.4878,2.9829,0.1053,0.1053,1.91
20,-3.7393,50,0,-4.4504,2.9119,0.1,0.1051,2.01
21,-5.3987,50,0,-4.4955,2.8489,0.0952,0.1025,2.12
22,-6.4994,50,0,-4.5866,2.8145,0.0909,0.1146,2.23
23,-6.7119,50,0,-4.679,2.7866,0.087,0.1013,2.33
24,-3.5788,50,0,-4.6332,2.7367,0.0833,0.0922,2.42
25,-4.1445,50,0,-4.6136,2.6832,0.08,0.0986,2.52
26,-4.5439,50,0,-4.611,2.6311,0.0769,0.1216,2.64
27,-5.0868,50,0,-4.6286,2.5835,0.0741,0.1104,2.76
28,-3.3343,50,0,-4.5824,2.5483,0.0714,0.0955,2.85
29,-4.0631,50,0,-4.5645,2.5057,0.069,0.1016,2.95
30,-2.6135,50,0,-4.4994,2.4884,0.0667,0.0944,3.05
31,-4.9321,50,0,-4.5134,2.4491,0.0645,0.0817,3.13
32,-3.7385,50,0,-4.4892,2.4143,0.0625,0.0994,3.23
33,-2.9467,50,0,-4.4424,2.3921,0.0606,0.1145,3.34
34,-5.2595,50,0,-4.4665,2.3607,0.0588,0.1153,3.46
35,-4.9621,50,0,-4.4806,2.3282,0.0571,0.1096,3.57
36,-0.0135,1,1,-4.3565,2.4102,0.0833,0.0019,3.57
37,-5.2278,50,0,-4.3801,2.3816,0.0811,0.1108,3.68
38,-5.9299,50,0,-4.4209,2.3631,0.0789,0.108,3.79
39,-4.6841,50,0,-4.4276,2.333,0.0769,0.0993,3.89
40,-0.0414,1,1,-4.318,2.4032,0.1,0.0024,3.89
41,-5.2687,50,0,-4.3411,2.3783,0.0976,0.1021,3.99
42,-23.481,50,0,-4.7969,3.7465,0.0952,0.1057,4.1
43,-5.5716,50,0,-4.8149,3.7045,0.093,0.1037,4.2
44,-3.9859,50,0,-4.796,3.6642,0.0909,0.1225,4.32
45,-0.04,1,1,-4.6903,3.6905,0.1111,0.0038,4.33
46,-4.912,50,0,-4.6952,3.6503,0.1087,0.1131,4.44
47,-0.0342,1,1,-4.596,3.6734,0.1277,0.0024,4.44
48,-2.7849,50,0,-4.5583,3.6441,0.125,0.0982,4.54
49,-0.0347,1,1,-4.4659,3.663,0.1429,0.0018,4.54
50,-3.234,50,0,-4.4413,3.6303,0.14,0.1002,4.64
51,-2.9001,50,0,-4.4111,3.6009,0.1373,0.0987,4.74
52,-4.116,50,0,-4.4054,3.5663,0.1346,0.0928,4.83
53,-9.9536,50,0,-4.5101,3.6122,0.1321,0.1018,4.94
54,-2.882,50,0,-4.4799,3.5854,0.1296,0.101,5.04
55,-4.6908,50,0,-4.4838,3.5527,0.1273,0.1384,5.18
56,-5.1354,50,0,-4.4954,3.5219,0.125,0.0994,5.27
57,-0.0499,1,1,-4.4174,3.5394,0.1404,0.0019,5.28
58,-4.0501,50,0,-4.4111,3.509,0.1379,0.0944,5.37
59,-4.8211,50,0,-4.418,3.4796,0.1356,0.0896,5.46
60,-4.1092,50,0,-4.4129,3.4507,0.1333,0.0991,5.56
61,-22.5028,50,0,-4.7094,4.1217,0.1311,0.0928,5.65
62,-10.854,50,0,-4.8086,4.161,0.129,0.115,5.77
63,-5.0825,50,0,-4.8129,4.128,0.127,0.0963,5.86
64,-8.2579,50,0,-4.8667,4.1178,0.125,0.101,5.97
65,-3.2373,50,0,-4.8417,4.0909,0.1231,0.1079,6.07
66,-0.0388,1,1,-4.7689,4.102,0.1364,0.002,6.08
67,-4.9724,50,0,-4.7719,4.0714,0.1343,0.0902,6.17
68,-0.0201,1,1,-4.702,4.0816,0.1471,0.0025,6.17
69,-0.7558,14,1,-4.6449,4.0793,0.1594,0.0318,6.2
70,-3.103,50,0,-4.6228,4.0541,0.1571,0.1008,6.3
71,-5.3408,50,0,-4.6329,4.0264,0.1549,0.0945,6.39
72,-4.6268,50,0,-4.6329,3.9983,0.1528,0.1003,6.5
73,-3.1513,50,0,-4.6126,3.9746,0.1507,0.0907,6.59
74,-5.6219,50,0,-4.6262,3.9494,0.1486,0.1101,6.7
75,-10.0455,50,0,-4.6985,3.9719,0.1467,0.0987,6.79
76,-2.5641,50,0,-4.6704,3.9531,0.1447,0.0868,6.88
77,-8.618,50,0,-4.7216,3.9527,0.1429,0.0993,6.98
78,-7.7614,50,0,-4.7606,3.9422,0.141,0.1052,7.09
79,-4.4961,50,0,-4.7573,3.9173,0.1392,0.0969,7.18
80,-0.0217,1,1,-4.6981,3.9281,0.15,0.0025,7.19
81,-0.0251,1,1,-4.6404,3.9377,0.1605,0.0025,7.19
82,-3.668,50,0,-4.6285,3.9151,0.1585,0.0996,7.29
83,-3.0907,50,0,-4.61,3.8951,0.1566,0.114,7.4
84,-5.4911,50,0,-4.6205,3.873,0.1548,0.1118,7.51
85,-0.0475,1,1,-4.5667,3.8816,0.1647,0.0021,7.52
86,-4.7719,50,0,-4.5691,3.859,0.1628,0.0948,7.61
87,-4.9365,50,0,-4.5733,3.837,0.1609,0.1068,7.72
88,-21.5445,50,0,-4.7661,4.2179,0.1591,0.1016,7.82
89,-3.8442,50,0,-4.7558,4.1953,0.1573,0.1275,7.95
90,-5.0377,50,0,-4.7589,4.172,0.1556,0.1037,8.05
91,-3.0176,50,0,-4.7398,4.153,0.1538,0.1257,8.18
92,-5.5612,50,0,-4.7487,4.1312,0.1522,0.1077,8.28
93,-4.2973,50,0,-4.7439,4.1092,0.1505,0.109,8.39
94,-3.462,50,0,-4.7302,4.0894,0.1489,0.1036,8.5
