episode,reward,length,is_success,avg_reward_100,std_reward_100,success_rate_100,episode_time_s,cumulative_time_s
1,-2.8067,50,0,-2.8067,0.0,0.0,0.1226,0.12
2,-4.513,50,0,-3.6599,0.8531,0.0,0.0973,0.22
3,-3.8734,50,0,-3.731,0.7038,0.0,0.0961,0.32
4,-0.0277,1,1,-2.8052,1.7155,0.25,0.0024,0.32
5,-3.5335,50,0,-2.9509,1.5618,0.2,0.0977,0.42
6,-0.4753,9,1,-2.5383,1.6982,0.3333,0.0207,0.44
7,-3.5315,50,0,-2.6802,1.6102,0.2857,0.1056,0.54
8,-4.9244,50,0,-2.9607,1.6791,0.25,0.1061,0.65
9,-4.1765,50,0,-3.0958,1.6286,0.2222,0.1258,0.77
10,-5.7239,50,0,-3.3586,1.7345,0.2,0.1061,0.88
11,-5.2787,50,0,-3.5331,1.7435,0.1818,0.1176,1.0
12,-0.0266,1,1,-3.2409,1.9302,0.25,0.0023,1.0
13,-8.0377,50,0,-3.6099,2.2523,0.2308,0.0938,1.09
14,-0.0362,1,1,-3.3546,2.3575,0.2857,0.0022,1.1
15,-1.0915,20,1,-3.2038,2.3465,0.3333,0.0358,1.13
16,-5.846,50,0,-3.3689,2.3602,0.3125,0.0984,1.23
17,-4.0377,50,0,-3.4083,2.2952,0.2941,0.0997,1.33
18,-5.7013,50,0,-3.5356,2.2915,0.2778,0.1103,1.44
19,-3.4765,50,0,-3.5325,2.2304,0.2632,0.1072,1.55
20,-3.668,50,0,-3.5393,2.1742,0.25,0.0951,1.64
21,-0.0342,1,1,-3.3724,2.2492,0.2857,0.002,1.64
22,-2.9726,50,0,-3.3542,2.1991,0.2727,0.1132,1.76
23,-0.041,1,1,-3.2102,2.2544,0.3043,0.002,1.76
24,-2.9241,50,0,-3.1982,2.2077,0.2917,0.1127,1.87
25,-4.4234,50,0,-3.2473,2.1764,0.28,0.0997,1.97
26,-6.2906,50,0,-3.3643,2.2129,0.2692,0.1097,2.08
27,-2.8951,50,0,-3.3469,2.1733,0.2593,0.0993,2.18
28,-10.5958,50,0,-3.6058,2.5228,0.25,0.1124,2.29
29,-6.293,50,0,-3.6985,2.5269,0.2414,0.1289,2.42
30,-3.4244,50,0,-3.6893,2.4849,0.2333,0.1179,2.54
31,-3.9901,50,0,-3.699,2.4451,0.2258,0.0915,2.63
32,-0.0463,1,1,-3.5849,2.4891,0.25,0.0019,2.63
33,-4.3494,50,0,-3.6081,2.4546,0.2424,0.0927,2.73
34,-6.1669,50,0,-3.6833,2.4566,0.2353,0.106,2.83
35,-5.2429,50,0,-3.7279,2.4351,0.2286,0.0994,2.93
36,-0.0446,1,1,-3.6256,2.4762,0.25,0.0025,2.93
37,-14.2545,50,0,-3.9128,2.9894,0.2432,0.099,3.03
38,-7.7259,50,0,-4.0132,3.0123,0.2368,0.0902,3.12
39,-7.3555,50,0,-4.0989,3.02,0.2308,0.1075,3.23
40,-0.046,1,1,-3.9976,3.0484,0.25,0.0022,3.23
41,-0.0344,1,1,-3.9009,3.0724,0.2683,0.0022,3.24
