episode,reward,length,is_success,avg_reward_100,std_reward_100,success_rate_100,episode_time_s,cumulative_time_s
1,-3.8274,50,0,-3.8274,0.0,0.0,0.1051,0.11
2,-0.045,1,1,-1.9362,1.8912,0.5,0.0025,0.11
3,-0.048,1,1,-1.3068,1.7823,0.6667,0.0021,0.11
4,-4.9649,50,0,-2.2213,2.2117,0.5,0.0969,0.21
5,-6.2441,50,0,-3.0259,2.55,0.4,0.108,0.31
6,-5.7286,50,0,-3.4763,2.5364,0.3333,0.1081,0.42
7,-3.1765,50,0,-3.4335,2.3506,0.2857,0.1045,0.53
8,-2.8894,50,0,-3.3655,2.2061,0.25,0.1107,0.64
9,-3.3246,50,0,-3.361,2.08,0.2222,0.1022,0.74
10,-12.8141,50,0,-4.3063,3.4549,0.2,0.0977,0.84
11,-3.9883,50,0,-4.2774,3.2954,0.1818,0.1022,0.94
12,-3.2267,50,0,-4.1898,3.1684,0.1667,0.0946,1.03
13,-2.5338,50,0,-4.0624,3.0759,0.1538,0.106,1.14
14,-6.0232,50,0,-4.2025,3.0068,0.1429,0.1091,1.25
15,-14.1238,50,0,-4.8639,3.8161,0.1333,0.0954,1.35
16,-3.9462,50,0,-4.8065,3.7016,0.125,0.1041,1.45
17,-9.0979,50,0,-5.059,3.7303,0.1176,0.1028,1.55
18,-5.8057,50,0,-5.1005,3.6293,0.1111,0.0976,1.65
19,-3.0139,50,0,-4.9906,3.5631,0.1053,0.1021,1.75
20,-3.7411,50,0,-4.9282,3.4835,0.1,0.0944,1.85
21,-8.7257,50,0,-5.109,3.4944,0.0952,0.1082,1.95
22,-4.1601,50,0,-5.0659,3.4198,0.0909,0.0951,2.05
23,-6.7086,50,0,-5.1373,3.3614,0.087,0.0983,2.15
24,-4.1981,50,0,-5.0982,3.2959,0.0833,0.0994,2.25
25,-5.0013,50,0,-5.0943,3.2294,0.08,0.0924,2.34
26,-7.9971,50,0,-5.2059,3.2155,0.0769,0.1033,2.44
27,-15.9416,50,0,-5.6036,3.7506,0.0741,0.0974,2.54
28,-3.3349,50,0,-5.5225,3.707,0.0714,0.0906,2.63
29,-4.0633,50,0,-5.4722,3.6523,0.069,0.1019,2.73
30,-20.2536,50,0,-5.9649,4.4648,0.0667,0.0966,2.83
31,-5.4485,50,0,-5.9483,4.3932,0.0645,0.1038,2.93
32,-3.7371,50,0,-5.8792,4.3411,0.0625,0.0904,3.02
33,-2.9455,50,0,-5.7903,4.3043,0.0606,0.0874,3.11
34,-1.337,14,1,-5.6593,4.3067,0.0882,0.029,3.14
35,-5.1562,50,0,-5.6449,4.2456,0.0857,0.09,3.23
36,-0.0135,1,1,-5.4885,4.2873,0.1111,0.0023,3.23
37,-5.2278,50,0,-5.4814,4.2291,0.1081,0.0908,3.32
38,-5.9429,50,0,-5.4936,4.1738,0.1053,0.0856,3.41
39,-5.1745,50,0,-5.4854,4.1202,0.1026,0.0999,3.51
40,-0.0414,1,1,-5.3493,4.1562,0.125,0.002,3.51
41,-7.3854,50,0,-5.399,4.1172,0.122,0.094,3.6
42,-3.0226,50,0,-5.3424,4.084,0.119,0.0936,3.7
43,-5.5712,50,0,-5.3477,4.0364,0.1163,0.0884,3.79
44,-3.9862,50,0,-5.3168,3.9954,0.1136,0.0927,3.88
45,-0.04,1,1,-5.1995,4.0266,0.1333,0.0042,3.88
46,-6.0081,50,0,-5.2171,3.9844,0.1304,0.096,3.98
47,-0.0342,1,1,-5.1068,4.0121,0.1489,0.0023,3.98
48,-2.7865,50,0,-5.0585,3.9839,0.1458,0.0904,4.07
49,-0.0346,1,1,-4.9559,4.0065,0.1633,0.0044,4.08
50,-3.6631,50,0,-4.9301,3.9703,0.16,0.0925,4.17
51,-6.7193,50,0,-4.9652,3.939,0.1569,0.0938,4.26
52,-4.116,50,0,-4.9488,3.9027,0.1538,0.0933,4.36
53,-3.159,50,0,-4.9151,3.8734,0.1509,0.0946,4.45
54,-2.8793,50,0,-4.8774,3.8472,0.1481,0.0929,4.54
55,-4.6908,50,0,-4.874,3.8121,0.1455,0.0863,4.63
56,-8.2714,50,0,-4.9346,3.8046,0.1429,0.0923,4.72
57,-0.0499,1,1,-4.8489,3.8252,0.1579,0.0043,4.73
58,-4.0509,50,0,-4.8352,3.7935,0.1552,0.0915,4.82
