episode,reward,length,is_success,avg_reward_100,std_reward_100,success_rate_100,episode_time_s,cumulative_time_s
1,-0.0323,1,1,-0.0323,0.0,1.0,0.0105,0.01
2,-4.3112,50,0,-2.1718,2.1394,0.5,0.1144,0.12
3,-5.4281,50,0,-3.2572,2.3255,0.3333,0.1226,0.25
4,-3.7995,50,0,-3.3928,2.0276,0.25,0.1057,0.35
5,-4.2387,50,0,-3.562,1.8448,0.2,0.154,0.51
6,-5.3908,50,0,-3.8668,1.8168,0.1667,0.1251,0.63
7,-5.1185,50,0,-4.0456,1.7381,0.1429,0.1273,0.76
8,-4.676,50,0,-4.1244,1.6392,0.125,0.0974,0.86
9,-4.8669,50,0,-4.2069,1.5629,0.1111,0.0972,0.95
10,-2.8395,50,0,-4.0702,1.5384,0.1,0.0989,1.05
11,-5.1261,50,0,-4.1662,1.4979,0.0909,0.0955,1.15
12,-5.4961,50,0,-4.277,1.4805,0.0833,0.1016,1.25
13,-0.0242,1,1,-3.9499,1.8186,0.1538,0.0049,1.26
14,-4.0618,50,0,-3.9578,1.7527,0.1429,0.0987,1.35
15,-6.7796,50,0,-4.146,1.8338,0.1333,0.0877,1.44
16,-0.6731,12,1,-3.9289,1.9645,0.1875,0.0233,1.46
17,-4.4214,50,0,-3.9579,1.9094,0.1765,0.0969,1.56
18,-0.0481,1,1,-3.7407,2.0604,0.2222,0.0018,1.56
19,-2.6303,50,0,-3.6822,2.0207,0.2105,0.1178,1.68
20,-4.3427,50,0,-3.7153,1.9748,0.2,0.0818,1.76
21,-0.0344,1,1,-3.54,2.0805,0.2381,0.0067,1.77
22,-0.0469,1,1,-3.3812,2.159,0.2727,0.0031,1.77
23,-6.4606,50,0,-3.5151,2.2029,0.2609,0.0918,1.86
24,-4.9559,50,0,-3.5751,2.1757,0.25,0.1186,1.98
25,-3.5174,50,0,-3.5728,2.1318,0.24,0.107,2.09
26,-4.975,50,0,-3.6267,2.1077,0.2308,0.0814,2.17
27,-0.0499,1,1,-3.4943,2.1758,0.2593,0.0016,2.17
28,-4.8769,50,0,-3.5436,2.1519,0.25,0.1033,2.28
29,-3.08,50,0,-3.5277,2.1162,0.2414,0.1135,2.39
30,-0.041,1,1,-3.4114,2.1727,0.2667,0.0016,2.39
31,-3.977,50,0,-3.4297,2.1397,0.2581,0.1283,2.52
32,-3.0645,50,0,-3.4183,2.107,0.25,0.1442,2.66
33,-3.6544,50,0,-3.4254,2.0752,0.2424,0.1036,2.77
34,-4.7768,50,0,-3.4652,2.0572,0.2353,0.1062,2.87
35,-6.5337,50,0,-3.5528,2.091,0.2286,0.1124,2.99
36,-2.9556,50,0,-3.5363,2.0641,0.2222,0.1107,3.1
37,-0.026,1,1,-3.4414,2.1141,0.2432,0.0083,3.11
38,-5.999,50,0,-3.5087,2.1259,0.2368,0.1345,3.24
39,-0.0314,1,1,-3.4195,2.1692,0.2564,0.0036,3.24
40,-0.0402,1,1,-3.335,2.206,0.275,0.0025,3.25
41,-5.588,50,0,-3.39,2.2065,0.2683,0.1122,3.36
42,-5.3143,50,0,-3.4358,2.1997,0.2619,0.1029,3.46
43,-3.3937,50,0,-3.4348,2.174,0.2558,0.131,3.59
44,-6.0351,50,0,-3.4939,2.1838,0.25,0.1384,3.73
45,-4.273,50,0,-3.5112,2.1624,0.2444,0.0994,3.83
46,-0.0271,1,1,-3.4355,2.1983,0.2609,0.0024,3.83
47,-4.9308,50,0,-3.4673,2.1855,0.2553,0.1042,3.94
48,-8.8491,50,0,-3.5794,2.2951,0.25,0.1272,4.06
49,-6.585,50,0,-3.6408,2.311,0.2449,0.108,4.17
50,-5.1666,50,0,-3.6713,2.2977,0.24,0.0791,4.25
51,-0.0289,1,1,-3.5999,2.3305,0.2549,0.0029,4.25
52,-5.3294,50,0,-3.6331,2.3201,0.25,0.1132,4.37
53,-5.7036,50,0,-3.6722,2.3154,0.2453,0.1141,4.48
54,-0.0248,1,1,-3.6047,2.3459,0.2593,0.0017,4.48
55,-4.6356,50,0,-3.6234,2.3286,0.2545,0.1148,4.6
56,-3.2038,50,0,-3.6159,2.3084,0.25,0.1338,4.73
57,-5.5519,50,0,-3.6499,2.3021,0.2456,0.1225,4.85
58,-4.6244,50,0,-3.6667,2.2857,0.2414,0.0917,4.95
59,-5.657,50,0,-3.7004,2.2808,0.2373,0.0953,5.04
60,-4.4752,50,0,-3.7133,2.2638,0.2333,0.0988,5.14
61,-0.0326,1,1,-3.653,2.2933,0.2459,0.0066,5.15
62,-2.9708,50,0,-3.642,2.2764,0.2419,0.0906,5.24
63,-6.5206,50,0,-3.6877,2.2867,0.2381,0.1059,5.34
64,-0.045,1,1,-3.6308,2.3133,0.25,0.0019,5.34
65,-9.5098,50,0,-3.7212,2.4068,0.2462,0.1221,5.47
66,-3.1404,50,0,-3.7124,2.3896,0.2424,0.1015,5.57
67,-2.646,50,0,-3.6965,2.3752,0.2388,0.0819,5.65
68,-4.6201,50,0,-3.7101,2.3603,0.2353,0.1087,5.76
69,-2.5768,50,0,-3.6936,2.347,0.2319,0.1021,5.86
70,-5.5189,50,0,-3.7197,2.3402,0.2286,0.1377,6.0
71,-4.7881,50,0,-3.7348,2.3271,0.2254,0.0946,6.09
72,-4.2357,50,0,-3.7417,2.3116,0.2222,0.0923,6.19
73,-4.4342,50,0,-3.7512,2.2972,0.2192,0.0863,6.27
74,-4.4201,50,0,-3.7602,2.2829,0.2162,0.115,6.39
75,-0.0161,1,1,-3.7103,2.3079,0.2267,0.0016,6.39
76,-5.697,50,0,-3.7365,2.3038,0.2237,0.0967,6.49
77,-5.3956,50,0,-3.758,2.2965,0.2208,0.0928,6.58
78,-5.4815,50,0,-3.7801,2.29,0.2179,0.0907,6.67
79,-8.075,50,0,-3.8345,2.3256,0.2152,0.1012,6.77
80,-0.0053,1,1,-3.7866,2.3498,0.225,0.0021,6.77
81,-3.7643,50,0,-3.7863,2.3353,0.2222,0.0928,6.86
82,-0.0401,1,1,-3.7406,2.3571,0.2317,0.0018,6.87
83,-3.3875,50,0,-3.7364,2.3432,0.2289,0.084,6.95
84,-4.8226,50,0,-3.7493,2.3322,0.2262,0.1059,7.06
85,-3.0801,50,0,-3.7414,2.3195,0.2235,0.0869,7.14
86,-0.0378,1,1,-3.6984,2.3399,0.2326,0.0031,7.15
87,-6.2479,50,0,-3.7277,2.3423,0.2299,0.1081,7.25
88,-4.6798,50,0,-3.7385,2.3311,0.2273,0.0938,7.35
89,-3.9763,50,0,-3.7412,2.3181,0.2247,0.1039,7.45
90,-4.316,50,0,-3.7476,2.306,0.2222,0.1001,7.55
91,-4.6045,50,0,-3.757,2.295,0.2198,0.0871,7.64
92,-0.6321,11,1,-3.723,2.3054,0.2283,0.0195,7.66
93,-4.3568,50,0,-3.7298,2.2939,0.2258,0.1087,7.77
94,-5.0602,50,0,-3.744,2.2858,0.2234,0.0843,7.85
95,-6.5723,50,0,-3.7738,2.2919,0.2211,0.0906,7.94
96,-0.0394,1,1,-3.7349,2.3113,0.2292,0.002,7.94
97,-4.5404,50,0,-3.7432,2.3008,0.2268,0.0915,8.04
98,-0.0393,1,1,-3.7054,2.3191,0.2347,0.0017,8.04
99,-4.2503,50,0,-3.7109,2.308,0.2323,0.1033,8.14
100,-0.0446,1,1,-3.6742,2.3252,0.24,0.0029,8.14
101,-4.4444,50,0,-3.7183,2.2974,0.23,0.0897,8.23
102,-2.6792,50,0,-3.702,2.2989,0.23,0.09,8.32
103,-4.8696,50,0,-3.6964,2.2954,0.23,0.0935,8.42
104,-0.0442,1,1,-3.6589,2.3239,0.24,0.0021,8.42
105,-0.0441,1,1,-3.6169,2.3508,0.25,0.0048,8.42
106,-5.4455,50,0,-3.6175,2.3512,0.25,0.1041,8.53
107,-8.6635,50,0,-3.6529,2.3998,0.25,0.09,8.62
108,-4.0598,50,0,-3.6468,2.3979,0.25,0.0904,8.71
109,-4.328,50,0,-3.6414,2.3958,0.25,0.116,8.82
110,-5.497,50,0,-3.6679,2.4015,0.25,0.1096,8.93
111,-5.4892,50,0,-3.6716,2.404,0.25,0.1028,9.04
112,-3.2602,50,0,-3.6492,2.3973,0.25,0.0788,9.12
113,-6.238,50,0,-3.7114,2.383,0.24,0.109,9.22
114,-5.4035,50,0,-3.7248,2.3887,0.24,0.1051,9.33
115,-4.1727,50,0,-3.6987,2.3694,0.24,0.0942,9.42
116,-0.0396,1,1,-3.6924,2.3783,0.24,0.0021,9.43
117,-2.6359,50,0,-3.6745,2.3794,0.24,0.1069,9.53
118,-6.4358,50,0,-3.7384,2.3669,0.23,0.1092,9.64
119,-2.6714,50,0,-3.7388,2.3668,0.23,0.0893,9.73
120,-5.9729,50,0,-3.7551,2.3764,0.23,0.0878,9.82
121,-4.1862,50,0,-3.7966,2.3472,0.22,0.1113,9.93
122,-0.0481,1,1,-3.7966,2.3472,0.22,0.0016,9.93
123,-0.0344,1,1,-3.7324,2.3613,0.23,0.002,9.93
124,-0.0404,1,1,-3.6832,2.3863,0.24,0.0018,9.94
125,-4.6091,50,0,-3.6941,2.388,0.24,0.1103,10.05
126,-5.9491,50,0,-3.7039,2.3952,0.24,0.0906,10.14
127,-6.066,50,0,-3.764,2.3782,0.23,0.0784,10.22
128,-0.0253,1,1,-3.7155,2.4043,0.24,0.0017,10.22
129,-3.5004,50,0,-3.7197,2.4036,0.24,0.0968,10.31
130,-3.4096,50,0,-3.7534,2.3752,0.23,0.1451,10.46
131,-4.1794,50,0,-3.7554,2.3755,0.23,1.6219,12.08
132,-1.0116,19,1,-3.7349,2.3902,0.24,0.6398,12.72
133,-3.8502,50,0,-3.7369,2.3902,0.24,1.6742,14.39
134,-5.0598,50,0,-3.7397,2.3916,0.24,1.6952,16.09
135,-0.0282,1,1,-3.6746,2.4032,0.25,0.0348,16.12
136,-5.469,50,0,-3.6998,2.4087,0.25,1.6787,17.8
137,-4.0015,50,0,-3.7395,2.3803,0.24,1.6863,19.49
138,-4.4771,50,0,-3.7243,2.3707,0.24,1.7093,21.2
