episode,reward,length,is_success,avg_reward_100,std_reward_100,success_rate_100,episode_time_s,cumulative_time_s
1,-5.9528,50,0,-5.9528,0.0,0.0,0.2235,0.22
2,-5.1872,50,0,-5.57,0.3828,0.0,0.1881,0.41
3,-7.213,50,0,-6.1177,0.8352,0.0,0.1594,0.57
4,-0.0277,1,1,-4.5952,2.7344,0.25,0.0033,0.57
5,-3.5337,50,0,-4.3829,2.4823,0.2,0.1816,0.76
6,-2.7803,50,0,-4.1158,2.3434,0.1667,0.1787,0.93
7,-3.5303,50,0,-4.0321,2.1793,0.1429,0.1713,1.11
8,-7.0108,50,0,-4.4045,2.2641,0.125,0.1773,1.28
9,-4.1321,50,0,-4.3742,2.1363,0.1111,0.1657,1.45
10,-5.724,50,0,-4.5092,2.0667,0.1,0.1892,1.64
11,-5.2782,50,0,-4.5791,1.9829,0.0909,0.1674,1.81
12,-0.0266,1,1,-4.1997,2.2776,0.1667,0.0032,1.81
13,-4.8893,50,0,-4.2528,2.1959,0.1538,0.1712,1.98
14,-0.0362,1,1,-3.9516,2.3784,0.2143,0.003,1.98
15,-2.7445,50,0,-3.8711,2.3174,0.2,0.1602,2.14
16,-3.2488,50,0,-3.8322,2.2489,0.1875,0.1585,2.3
17,-4.0386,50,0,-3.8444,2.1823,0.1765,0.1729,2.47
18,-5.7002,50,0,-3.9475,2.163,0.1667,0.1739,2.65
19,-3.6954,50,0,-3.9342,2.106,0.1579,0.1677,2.82
20,-3.6676,50,0,-3.9209,2.0535,0.15,0.1795,3.0
21,-0.0342,1,1,-3.7358,2.1683,0.1905,0.0086,3.0
22,-9.8276,50,0,-4.0127,2.4694,0.1818,0.1621,3.17
23,-0.041,1,1,-3.84,2.5473,0.2174,0.0031,3.17
24,-2.9221,50,0,-3.8018,2.5004,0.2083,0.1581,3.33
25,-4.4235,50,0,-3.8266,2.4529,0.2,0.1731,3.5
26,-3.0068,50,0,-3.7951,2.4104,0.1923,0.19,3.69
27,-2.896,50,0,-3.7618,2.3715,0.1852,0.1712,3.86
28,-3.8043,50,0,-3.7633,2.3287,0.1786,0.1794,4.04
29,-6.2917,50,0,-3.8505,2.3343,0.1724,0.1662,4.21
30,-4.8798,50,0,-3.8848,2.3025,0.1667,0.1542,4.36
31,-3.9932,50,0,-3.8883,2.2651,0.1613,0.1769,4.54
32,-0.0463,1,1,-3.7682,2.3275,0.1875,0.0048,4.54
33,-10.1016,50,0,-3.9602,2.5361,0.1818,0.198,4.74
34,-6.1682,50,0,-4.0251,2.5262,0.1765,0.1778,4.92
35,-5.6441,50,0,-4.0714,2.5044,0.1714,0.1904,5.11
36,-0.0445,1,1,-3.9595,2.5565,0.1944,0.0032,5.11
37,-5.698,50,0,-4.0065,2.5375,0.1892,0.1607,5.27
38,-4.4797,50,0,-4.0189,2.505,0.1842,0.1785,5.45
39,-4.8128,50,0,-4.0393,2.4759,0.1795,0.1839,5.64
40,-0.046,1,1,-3.9395,2.523,0.2,0.004,5.64
41,-0.0344,1,1,-3.8442,2.5638,0.2195,0.0084,5.65
42,-4.6604,50,0,-3.8637,2.5361,0.2143,0.1939,5.84
43,-6.3271,50,0,-3.9209,2.5338,0.2093,0.1684,6.01
44,-3.4083,50,0,-3.9093,2.506,0.2045,0.1902,6.2
45,-0.0347,1,1,-3.8232,2.543,0.2222,0.0088,6.21
46,-6.6178,50,0,-3.8839,2.548,0.2174,0.1801,6.39
47,-14.2413,50,0,-4.1043,2.9305,0.2128,0.1972,6.59
48,-5.6463,50,0,-4.1364,2.9082,0.2083,0.2288,6.82
49,-0.0469,1,1,-4.053,2.9359,0.2245,0.0086,6.82
50,-0.0129,1,1,-3.9722,2.9609,0.24,0.0045,6.83
51,-5.1311,50,0,-3.9949,2.9361,0.2353,0.1881,7.02
52,-3.9518,50,0,-3.9941,2.9078,0.2308,0.1949,7.21
53,-14.4375,50,0,-4.1911,3.2116,0.2264,0.2217,7.43
54,-4.7541,50,0,-4.2015,3.1827,0.2222,0.1684,7.6
55,-5.3559,50,0,-4.2225,3.1574,0.2182,0.179,7.78
56,-3.5411,50,0,-4.2104,3.1303,0.2143,0.1835,7.96
57,-4.8839,50,0,-4.2222,3.104,0.2105,0.1663,8.13
58,-0.0489,1,1,-4.1502,3.1247,0.2241,0.0031,8.13
59,-5.6545,50,0,-4.1757,3.1042,0.2203,0.1744,8.31
60,-6.2918,50,0,-4.211,3.0901,0.2167,0.1425,8.45
61,-5.545,50,0,-4.2329,3.0694,0.2131,0.2012,8.65
62,-6.7408,50,0,-4.2733,3.0609,0.2097,0.1628,8.81
63,-4.2487,50,0,-4.2729,3.0365,0.2063,0.1657,8.98
64,-18.995,50,0,-4.503,3.5228,0.2031,0.2005,9.18
65,-5.0195,50,0,-4.5109,3.4961,0.2,0.1936,9.37
66,-0.7647,12,1,-4.4541,3.4996,0.2121,0.0445,9.42
67,-3.5795,50,0,-4.4411,3.475,0.209,0.1852,9.6
68,-4.7173,50,0,-4.4451,3.4495,0.2059,0.1687,9.77
69,-5.5613,50,0,-4.4613,3.427,0.2029,0.1935,9.97
70,-4.1786,50,0,-4.4573,3.4026,0.2,0.1666,10.13
71,-0.0421,1,1,-4.3951,3.4184,0.2113,0.0029,10.14
72,-3.7271,50,0,-4.3858,3.3955,0.2083,0.1576,10.29
73,-5.2679,50,0,-4.3979,3.3737,0.2055,0.1795,10.47
