episode,reward,length,is_success,avg_reward_100,std_reward_100,success_rate_100,episode_time_s,cumulative_time_s
1,-3.8274,50,0,-3.8274,0.0,0.0,0.1349,0.13
2,-0.045,1,1,-1.9362,1.8912,0.5,0.0032,0.14
3,-0.048,1,1,-1.3068,1.7823,0.6667,0.0027,0.14
4,-4.9649,50,0,-2.2213,2.2117,0.5,0.1228,0.26
5,-6.2441,50,0,-3.0259,2.55,0.4,0.1404,0.4
6,-5.7286,50,0,-3.4763,2.5364,0.3333,0.136,0.54
7,-3.1765,50,0,-3.4335,2.3506,0.2857,0.1301,0.67
8,-2.8894,50,0,-3.3655,2.2061,0.25,0.1365,0.81
9,-3.3246,50,0,-3.361,2.08,0.2222,0.129,0.94
10,-12.8141,50,0,-4.3063,3.4549,0.2,0.1289,1.06
11,-3.9883,50,0,-4.2774,3.2954,0.1818,0.1333,1.2
12,-3.2267,50,0,-4.1898,3.1684,0.1667,0.1244,1.32
13,-2.5338,50,0,-4.0624,3.0759,0.1538,0.1376,1.46
14,-6.0232,50,0,-4.2025,3.0068,0.1429,0.1367,1.6
15,-14.1238,50,0,-4.8639,3.8161,0.1333,0.1229,1.72
16,-3.9462,50,0,-4.8065,3.7016,0.125,0.1304,1.85
17,-9.0979,50,0,-5.059,3.7303,0.1176,0.132,1.98
18,-5.8057,50,0,-5.1005,3.6293,0.1111,0.1228,2.1
19,-3.0139,50,0,-4.9906,3.5631,0.1053,0.1308,2.24
20,-3.7411,50,0,-4.9282,3.4835,0.1,0.1232,2.36
21,-8.7257,50,0,-5.109,3.4944,0.0952,0.1382,2.5
22,-4.1601,50,0,-5.0659,3.4198,0.0909,0.1271,2.62
23,-6.7086,50,0,-5.1373,3.3614,0.087,0.1306,2.75
24,-4.1981,50,0,-5.0982,3.2959,0.0833,0.1285,2.88
25,-5.0013,50,0,-5.0943,3.2294,0.08,0.1201,3.0
26,-7.9971,50,0,-5.2059,3.2155,0.0769,0.1323,3.14
27,-15.9416,50,0,-5.6036,3.7506,0.0741,0.1243,3.26
28,-3.3349,50,0,-5.5225,3.707,0.0714,0.1156,3.38
29,-4.0633,50,0,-5.4722,3.6523,0.069,0.1316,3.51
30,-20.2536,50,0,-5.9649,4.4648,0.0667,0.1253,3.63
31,-5.4485,50,0,-5.9483,4.3932,0.0645,0.131,3.76
32,-3.7371,50,0,-5.8792,4.3411,0.0625,0.1132,3.88
33,-2.9455,50,0,-5.7903,4.3043,0.0606,0.1119,3.99
34,-1.337,14,1,-5.6593,4.3067,0.0882,0.0359,4.02
35,-5.1562,50,0,-5.6449,4.2456,0.0857,0.1129,4.14
36,-0.0135,1,1,-5.4885,4.2873,0.1111,0.003,4.14
37,-5.2278,50,0,-5.4814,4.2291,0.1081,0.1216,4.26
38,-5.9429,50,0,-5.4936,4.1738,0.1053,0.1072,4.37
39,-5.1745,50,0,-5.4854,4.1202,0.1026,0.1251,4.49
40,-0.0414,1,1,-5.3493,4.1562,0.125,0.0026,4.5
41,-7.3854,50,0,-5.399,4.1172,0.122,0.1208,4.62
42,-3.0226,50,0,-5.3424,4.084,0.119,0.1233,4.74
43,-5.5712,50,0,-5.3477,4.0364,0.1163,0.1087,4.85
44,-3.9862,50,0,-5.3168,3.9954,0.1136,0.117,4.97
45,-0.04,1,1,-5.1995,4.0266,0.1333,0.0055,4.97
46,-6.0081,50,0,-5.2171,3.9844,0.1304,0.1266,5.1
47,-0.0342,1,1,-5.1068,4.0121,0.1489,0.0028,5.1
