episode,reward,length,is_success,avg_reward_100,std_reward_100,success_rate_100,episode_time_s,cumulative_time_s
1,-0.0323,1,1,-0.0323,0.0,1.0,0.0163,0.02
2,-4.3112,50,0,-2.1718,2.1394,0.5,0.0853,0.1
3,-5.4281,50,0,-3.2572,2.3255,0.3333,0.1016,0.2
4,-3.7995,50,0,-3.3928,2.0276,0.25,0.0812,0.28
5,-5.4624,50,0,-3.8067,1.9935,0.2,0.0798,0.36
6,-5.3908,50,0,-4.0707,1.9132,0.1667,0.074,0.44
7,-5.1185,50,0,-4.2204,1.8088,0.1429,0.0728,0.51
8,-4.676,50,0,-4.2774,1.6987,0.125,0.0785,0.59
9,-4.8669,50,0,-4.3429,1.6122,0.1111,0.0702,0.66
10,-2.8395,50,0,-4.1925,1.5946,0.1,0.0777,0.74
11,-5.292,50,0,-4.2925,1.5529,0.0909,0.0775,0.81
12,-5.4959,50,0,-4.3928,1.5235,0.0833,0.072,0.89
13,-0.0242,1,1,-4.0567,1.8702,0.1538,0.0037,0.89
14,-4.0625,50,0,-4.0571,1.8022,0.1429,0.0718,0.96
15,-6.7796,50,0,-4.2386,1.8688,0.1333,0.0731,1.04
16,-0.6156,11,1,-4.0122,2.0108,0.1875,0.0181,1.05
17,-4.4213,50,0,-4.0363,1.9531,0.1765,0.0704,1.12
18,-0.0481,1,1,-3.8147,2.1065,0.2222,0.0014,1.13
19,-1.3596,26,1,-3.6855,2.1224,0.2632,0.0365,1.16
20,-6.6816,50,0,-3.8353,2.1692,0.25,0.0754,1.24
21,-0.0344,1,1,-3.6543,2.2664,0.2857,0.004,1.24
22,-0.0469,1,1,-3.4903,2.3383,0.3182,0.0016,1.24
23,-6.4605,50,0,-3.6195,2.3658,0.3043,0.0666,1.31
24,-9.5045,50,0,-3.8647,2.5974,0.2917,0.0742,1.38
25,-4.0929,50,0,-3.8738,2.5454,0.28,0.0706,1.45
26,-4.9903,50,0,-3.9167,2.5051,0.2692,0.0778,1.53
27,-0.0499,1,1,-3.7735,2.5645,0.2963,0.0016,1.53
28,-4.6469,50,0,-3.8047,2.5235,0.2857,0.0775,1.61
29,-3.0793,50,0,-3.7797,2.4831,0.2759,0.0695,1.68
30,-0.041,1,1,-3.6551,2.532,0.3,0.0015,1.68
31,-3.976,50,0,-3.6654,2.4914,0.2903,0.0752,1.76
32,-3.0623,50,0,-3.6466,2.4544,0.2812,0.0792,1.84
33,-4.6899,50,0,-3.6782,2.4236,0.2727,0.0865,1.92
34,-3.5323,50,0,-3.6739,2.3878,0.2647,0.0871,2.01
35,-6.5335,50,0,-3.7556,2.4012,0.2571,0.0788,2.09
36,-3.9918,50,0,-3.7622,2.3679,0.25,0.0749,2.16
37,-0.0261,1,1,-3.6612,2.413,0.2703,0.0042,2.17
38,-4.1607,50,0,-3.6743,2.3824,0.2632,0.0726,2.24
39,-0.0314,1,1,-3.5809,2.4211,0.2821,0.0015,2.24
40,-0.0402,1,1,-3.4924,2.4537,0.3,0.0016,2.24
41,-5.587,50,0,-3.5435,2.445,0.2927,0.0755,2.32
42,-8.0818,50,0,-3.6516,2.5129,0.2857,0.078,2.4
43,-4.6335,50,0,-3.6744,2.4879,0.2791,0.071,2.47
44,-2.9098,50,0,-3.657,2.4621,0.2727,0.0713,2.54
45,-4.2718,50,0,-3.6707,2.4363,0.2667,0.0797,2.62
46,-0.0271,1,1,-3.5915,2.4675,0.2826,0.0017,2.62
47,-4.9342,50,0,-3.62,2.4488,0.2766,0.0822,2.7
48,-4.326,50,0,-3.6347,2.4253,0.2708,0.0845,2.79
49,-6.5887,50,0,-3.695,2.4365,0.2653,0.0884,2.88
50,-8.0078,50,0,-3.7813,2.4864,0.26,0.0741,2.95
51,-0.0289,1,1,-3.7077,2.5163,0.2745,0.0014,2.95
52,-9.6191,50,0,-3.8214,2.6209,0.2692,0.0752,3.03
53,-5.7043,50,0,-3.8569,2.6086,0.2642,0.0896,3.12
54,-0.0248,1,1,-3.786,2.6355,0.2778,0.002,3.12
55,-4.6357,50,0,-3.8014,2.6139,0.2727,0.0797,3.2
56,-5.3258,50,0,-3.8286,2.5983,0.2679,0.0817,3.28
57,-5.5513,50,0,-3.8588,2.5853,0.2632,0.0754,3.36
58,-4.624,50,0,-3.872,2.5649,0.2586,0.0736,3.43
59,-3.8535,50,0,-3.8717,2.5431,0.2542,0.0667,3.5
60,-5.8776,50,0,-3.9052,2.5348,0.25,0.0729,3.57
61,-0.0326,1,1,-3.8417,2.5616,0.2623,0.0039,3.57
62,-2.9702,50,0,-3.8276,2.5432,0.2581,0.0636,3.64
63,-4.3297,50,0,-3.8356,2.5237,0.254,0.0719,3.71
64,-0.045,1,1,-3.7764,2.5477,0.2656,0.0014,3.71
65,-6.6059,50,0,-3.8199,2.5519,0.2615,0.0783,3.79
66,-3.6713,50,0,-3.8176,2.5326,0.2576,0.0849,3.87
67,-2.6452,50,0,-3.8001,2.5176,0.2537,0.0729,3.95
68,-4.6204,50,0,-3.8122,2.501,0.25,0.0695,4.02
69,-2.5783,50,0,-3.7943,2.4872,0.2464,0.0751,4.09
70,-6.8265,50,0,-3.8376,2.4954,0.2429,0.0757,4.17
71,-4.7881,50,0,-3.851,2.4803,0.2394,0.0786,4.24
72,-4.2358,50,0,-3.8564,2.4634,0.2361,0.0669,4.31
73,-30.841,50,0,-4.226,3.9779,0.2329,0.0699,4.38
74,-4.4215,50,0,-4.2287,3.951,0.2297,0.0741,4.46
75,-0.0161,1,1,-4.1725,3.9542,0.24,0.0017,4.46
76,-5.6968,50,0,-4.1925,3.9319,0.2368,0.0683,4.53
77,-5.3959,50,0,-4.2082,3.9087,0.2338,0.0691,4.59
78,-3.5742,50,0,-4.2,3.8842,0.2308,0.0774,4.67
79,-4.8049,50,0,-4.2077,3.8601,0.2278,0.07,4.74
80,-0.0053,1,1,-4.1552,3.8642,0.2375,0.0016,4.74
81,-3.7637,50,0,-4.1503,3.8406,0.2346,0.0788,4.82
82,-0.04,1,1,-4.1002,3.8436,0.2439,0.0014,4.82
83,-3.3882,50,0,-4.0916,3.8212,0.241,0.0671,4.89
84,-3.9434,50,0,-4.0899,3.7984,0.2381,0.0751,4.97
85,-3.082,50,0,-4.078,3.7776,0.2353,0.0805,5.05
86,-0.0378,1,1,-4.031,3.7804,0.2442,0.0016,5.05
87,-6.2436,50,0,-4.0565,3.766,0.2414,0.0687,5.12
88,-4.5064,50,0,-4.0616,3.7449,0.2386,0.0745,5.19
89,-3.8843,50,0,-4.0596,3.7238,0.236,0.0741,5.27
90,-9.6884,50,0,-4.1221,3.7498,0.2333,0.0687,5.33
91,-4.6039,50,0,-4.1274,3.7295,0.2308,0.0684,5.4
92,-3.0059,50,0,-4.1152,3.711,0.2283,0.0754,5.48
93,-4.3567,50,0,-4.1178,3.6911,0.2258,0.0803,5.56
94,-5.0598,50,0,-4.1279,3.6726,0.2234,0.0692,5.63
95,-6.5723,50,0,-4.1536,3.6618,0.2211,0.0741,5.7
96,-0.0394,1,1,-4.1107,3.6665,0.2292,0.0014,5.7
97,-4.5405,50,0,-4.1152,3.6478,0.2268,0.0724,5.78
98,-0.0393,1,1,-4.0736,3.6522,0.2347,0.0017,5.78
99,-4.6455,50,0,-4.0793,3.6342,0.2323,0.0691,5.85
100,-0.0446,1,1,-4.039,3.6382,0.24,0.0016,5.85
101,-4.4442,50,0,-4.0831,3.616,0.23,0.0723,5.92
102,-2.6787,50,0,-4.0668,3.6186,0.23,0.0704,5.99
103,-4.8686,50,0,-4.0612,3.6169,0.23,0.0699,6.06
104,-0.0442,1,1,-4.0236,3.6389,0.24,0.0016,6.06
105,-0.0441,1,1,-3.9695,3.6574,0.25,0.0035,6.07
106,-9.7188,50,0,-4.0127,3.6993,0.25,0.0845,6.15
107,-4.9613,50,0,-4.0112,3.6989,0.25,0.0663,6.22
108,-4.0602,50,0,-4.005,3.6983,0.25,0.0692,6.29
109,-4.3274,50,0,-3.9996,3.6974,0.25,0.0726,6.36
110,-5.4992,50,0,-4.0262,3.6985,0.25,0.072,6.43
111,-5.4887,50,0,-4.0282,3.6992,0.25,0.0827,6.51
112,-1.348,21,1,-3.9867,3.7058,0.26,0.0265,6.54
113,-4.5253,50,0,-4.0317,3.6847,0.25,0.0739,6.61
114,-5.4039,50,0,-4.0451,3.6872,0.25,0.0737,6.69
115,-4.1724,50,0,-4.019,3.677,0.25,0.0692,6.76
116,-0.0396,1,1,-4.0133,3.6827,0.25,0.0015,6.76
117,-2.636,50,0,-3.9954,3.6851,0.25,0.0826,6.84
118,-6.4357,50,0,-4.0593,3.6714,0.24,0.0731,6.91
119,-2.6707,50,0,-4.0724,3.6641,0.23,0.074,6.99
120,-5.5161,50,0,-4.0608,3.6576,0.23,0.0708,7.06
121,-4.1855,50,0,-4.1023,3.6352,0.22,0.0759,7.13
122,-0.0481,1,1,-4.1023,3.6352,0.22,0.0015,7.14
123,-0.0344,1,1,-4.038,3.6497,0.23,0.0016,7.14
124,-0.0403,1,1,-3.9434,3.6293,0.24,0.0017,7.14
125,-4.6077,50,0,-3.9485,3.6299,0.24,0.0765,7.22
126,-5.9489,50,0,-3.9581,3.6339,0.24,0.0682,7.28
127,-6.0662,50,0,-4.0183,3.6185,0.23,0.0719,7.36
128,-0.0253,1,1,-3.9721,3.6396,0.24,0.0014,7.36
129,-3.4844,50,0,-3.9761,3.6388,0.24,0.0707,7.43
130,-3.4096,50,0,-4.0098,3.6178,0.23,0.0693,7.5
131,-14.986,50,0,-4.1199,3.779,0.23,0.9361,8.43
132,-2.672,50,0,-4.116,3.7803,0.23,1.2179,9.65
