episode,reward,length,is_success,avg_reward_100,std_reward_100,success_rate_100,episode_time_s,cumulative_time_s
1,-3.8274,50,0,-3.8274,0.0,0.0,0.1344,0.13
2,-0.045,1,1,-1.9362,1.8912,0.5,0.0036,0.14
3,-0.048,1,1,-1.3068,1.7823,0.6667,0.003,0.14
4,-4.9649,50,0,-2.2213,2.2117,0.5,0.1086,0.25
5,-6.3859,50,0,-3.0542,2.5861,0.4,0.1172,0.37
6,-6.6827,50,0,-3.659,2.7207,0.3333,0.1203,0.49
7,-3.1753,50,0,-3.5899,2.5245,0.2857,0.1095,0.6
8,-2.888,50,0,-3.5022,2.3729,0.25,0.116,0.71
9,-3.3254,50,0,-3.4825,2.2378,0.2222,0.1304,0.84
10,-13.7163,50,0,-4.5059,3.7327,0.2,0.1151,0.96
11,-3.9901,50,0,-4.459,3.5621,0.1818,0.1157,1.07
12,-3.2263,50,0,-4.3563,3.4274,0.1667,0.1077,1.18
13,-2.5325,50,0,-4.216,3.3286,0.1538,0.1151,1.3
14,-4.995,50,0,-4.2716,3.2138,0.1429,0.1168,1.41
15,-4.825,49,1,-4.3085,3.1079,0.2,0.1066,1.52
16,-3.946,50,0,-4.2859,3.0105,0.1875,0.1253,1.65
17,-4.5186,49,1,-4.2996,2.9211,0.2353,0.1216,1.77
18,-5.8069,50,0,-4.3833,2.8597,0.2222,0.1072,1.87
19,-5.014,50,0,-4.4165,2.787,0.2105,0.1191,1.99
20,-3.7423,50,0,-4.3828,2.7204,0.2,0.1156,2.11
21,-11.6229,50,0,-4.7275,3.0701,0.1905,0.122,2.23
22,-4.1601,50,0,-4.7018,3.0018,0.1818,0.1101,2.34
23,-6.7085,50,0,-4.789,2.9642,0.1739,0.1166,2.46
24,-1.8295,26,1,-4.6657,2.9615,0.2083,0.0646,2.52
25,-4.1472,50,0,-4.645,2.9034,0.2,0.1233,2.65
26,-4.5444,50,0,-4.6411,2.8471,0.1923,0.1272,2.77
27,-5.0882,50,0,-4.6576,2.7952,0.1852,0.1153,2.89
28,-4.502,50,0,-4.6521,2.7449,0.1786,0.1272,3.02
29,-4.2765,50,0,-4.6391,2.6981,0.1724,0.1306,3.15
30,-4.1678,50,0,-4.6234,2.6541,0.1667,0.1215,3.27
31,-4.9325,50,0,-4.6334,2.6115,0.1613,0.1216,3.39
32,-3.7223,50,0,-4.6049,2.5752,0.1562,0.1059,3.49
33,-2.9454,50,0,-4.5546,2.5518,0.1515,0.1028,3.6
34,-5.259,50,0,-4.5754,2.5168,0.1471,0.1075,3.7
35,-5.1563,50,0,-4.5919,2.4825,0.1429,0.1053,3.81
36,-0.0135,1,1,-4.4648,2.5608,0.1667,0.0026,3.81
37,-5.2279,50,0,-4.4854,2.529,0.1622,0.1098,3.92
38,-5.9424,50,0,-4.5237,2.5064,0.1579,0.1051,4.03
39,-5.3141,50,0,-4.544,2.4772,0.1538,0.1082,4.14
40,-0.0414,1,1,-4.4314,2.545,0.175,0.0022,4.14
41,-7.6466,50,0,-4.5099,2.5623,0.1707,0.1054,4.24
42,-3.0245,50,0,-4.4745,2.5417,0.1667,0.1164,4.36
43,-5.5709,50,0,-4.5,2.5174,0.1628,0.1037,4.46
44,-6.2573,50,0,-4.5399,2.5024,0.1591,0.103,4.57
45,-0.04,1,1,-4.4399,2.5618,0.1778,0.0048,4.57
46,-5.7948,50,0,-4.4694,2.5415,0.1739,0.1114,4.68
47,-0.0342,1,1,-4.375,2.5945,0.1915,0.0021,4.68
48,-2.7863,50,0,-4.3419,2.5773,0.1875,0.1011,4.79
49,-0.0346,1,1,-4.254,2.6226,0.2041,0.0053,4.79
50,-3.3831,50,0,-4.2366,2.5991,0.2,0.0994,4.89
51,-3.8082,50,0,-4.2282,2.5741,0.1961,0.1091,5.0
52,-4.1153,50,0,-4.226,2.5493,0.1923,0.1038,5.1
53,-3.1612,50,0,-4.2059,2.5293,0.1887,0.1075,5.21
54,-2.88,50,0,-4.1814,2.5121,0.1852,0.1073,5.32
55,-4.6887,50,0,-4.1906,2.4901,0.1818,0.1032,5.42
56,-4.8145,50,0,-4.2017,2.4692,0.1786,0.1028,5.52
57,-0.0499,1,1,-4.1289,2.5074,0.193,0.0051,5.53
58,-4.3412,50,0,-4.1326,2.4858,0.1897,0.1069,5.64
59,-4.821,50,0,-4.1442,2.4663,0.1864,0.1068,5.74
60,-4.1105,50,0,-4.1437,2.4456,0.1833,0.0983,5.84
61,-4.2931,50,0,-4.1461,2.4256,0.1803,0.1154,5.96
62,-4.6401,50,0,-4.1541,2.4067,0.1774,0.1304,6.09
63,-5.0828,50,0,-4.1688,2.3904,0.1746,0.1031,6.19
64,-4.4923,50,0,-4.1739,2.372,0.1719,0.0967,6.29
65,-3.2371,50,0,-4.1595,2.3565,0.1692,0.1084,6.4
66,-0.0388,1,1,-4.097,2.3921,0.1818,0.0022,6.4
67,-9.9158,50,0,-4.1839,2.4768,0.1791,0.1165,6.51
68,-0.0201,1,1,-4.1227,2.5091,0.1912,0.0023,6.52
69,-2.7296,50,0,-4.1025,2.4964,0.1884,0.1088,6.63
70,-3.2221,50,0,-4.0899,2.4807,0.1857,0.1125,6.74
71,-5.3418,50,0,-4.1075,2.4676,0.1831,0.1102,6.85
72,-4.6273,50,0,-4.1147,2.4512,0.1806,0.1209,6.97
73,-3.0074,50,0,-4.0996,2.4377,0.1781,0.105,7.07
74,-4.785,50,0,-4.1088,2.4225,0.1757,0.1493,7.22
75,-3.4516,50,0,-4.1001,2.4075,0.1733,0.1363,7.36
76,-4.5125,50,0,-4.1055,2.392,0.1711,0.1119,7.47
77,-3.603,50,0,-4.099,2.3771,0.1688,0.1127,7.58
78,-4.7132,50,0,-4.1068,2.3629,0.1667,0.1153,7.7
79,-3.782,50,0,-4.1027,2.3481,0.1646,0.1105,7.81
80,-0.0217,1,1,-4.0517,2.3771,0.175,0.0022,7.81
81,-0.0251,1,1,-4.002,2.4038,0.1852,0.0047,7.82
82,-3.756,50,0,-3.999,2.3893,0.1829,0.1048,7.92
83,-5.7298,50,0,-4.0199,2.3823,0.1807,0.1065,8.03
84,-5.4917,50,0,-4.0374,2.3735,0.1786,0.1014,8.13
85,-0.0475,1,1,-3.9904,2.3984,0.1882,0.0047,8.13
86,-4.4148,50,0,-3.9954,2.3848,0.186,0.0971,8.23
87,-4.9375,50,0,-4.0062,2.3732,0.1839,0.11,8.34
88,-2.8377,50,0,-3.9929,2.3629,0.1818,0.1069,8.45
89,-3.8445,50,0,-3.9913,2.3497,0.1798,0.1175,8.57
90,-5.038,50,0,-4.0029,2.3392,0.1778,0.1044,8.67
91,-3.5756,50,0,-3.9982,2.3267,0.1758,0.118,8.79
92,-5.5612,50,0,-4.0152,2.3197,0.1739,0.1209,8.91
93,-4.2977,50,0,-4.0182,2.3074,0.172,0.115,9.02
94,-3.462,50,0,-4.0123,2.2958,0.1702,0.1245,9.15
95,-0.0388,1,1,-3.9705,2.3194,0.1789,0.0027,9.15
96,-0.0299,1,1,-3.9294,2.3417,0.1875,0.0024,9.15
97,-2.6146,50,0,-3.9159,2.3334,0.1856,0.1123,9.27
98,-6.0566,50,0,-3.9377,2.3314,0.1837,0.1098,9.38
99,-4.912,50,0,-3.9476,2.3216,0.1818,0.1103,9.49
100,-3.643,50,0,-3.9445,2.3102,0.18,0.0997,9.59
101,-0.0472,1,1,-3.9067,2.3425,0.19,0.0072,9.59
102,-4.0157,50,0,-3.9464,2.3101,0.18,0.1033,9.7
103,-2.9332,50,0,-3.9753,2.2791,0.17,0.1066,9.8
104,-0.0447,1,1,-3.9261,2.3101,0.18,0.0022,9.8
105,-5.4237,50,0,-3.9164,2.3018,0.18,0.0998,9.9
106,-3.131,50,0,-3.8809,2.2862,0.18,0.0964,10.0
107,-4.2667,50,0,-3.8918,2.2854,0.18,0.1007,10.1
108,-2.8822,50,0,-3.8918,2.2854,0.18,0.1063,10.21
109,-4.8658,50,0,-3.9072,2.2867,0.18,0.1139,10.32
110,-8.9214,50,0,-3.8592,2.1251,0.18,0.0994,10.42
111,-2.9333,50,0,-3.8487,2.1271,0.18,0.1056,10.53
112,-2.9684,50,0,-3.8461,2.128,0.18,0.1031,10.63
113,-4.7978,50,0,-3.8687,2.1259,0.18,0.0995,10.73
114,-6.3175,50,0,-3.882,2.137,0.18,0.1017,10.83
115,-3.7524,50,0,-3.8712,2.1349,0.17,0.1116,10.94
116,-0.0265,1,1,-3.832,2.1689,0.18,0.0021,10.94
117,-0.0408,1,1,-3.7873,2.2003,0.18,0.0046,10.95
118,-3.5792,50,0,-3.765,2.1909,0.18,0.0978,11.05
119,-2.5581,50,0,-3.7404,2.1906,0.18,0.1104,11.16
120,-5.0805,50,0,-3.7538,2.1946,0.18,1.1487,12.31
