episode,reward,length,is_success,avg_reward_100,std_reward_100,success_rate_100,episode_time_s,cumulative_time_s
1,-3.8274,50,0,-3.8274,0.0,0.0,0.1967,0.2
2,-0.045,1,1,-1.9362,1.8912,0.5,0.0055,0.2
3,-0.048,1,1,-1.3068,1.7823,0.6667,0.0046,0.21
4,-4.9649,50,0,-2.2213,2.2117,0.5,0.1583,0.37
5,-5.6872,50,0,-2.9145,2.4156,0.4,0.163,0.53
6,-5.6782,50,0,-3.3751,2.4338,0.3333,0.1574,0.69
7,-3.1769,50,0,-3.3468,2.2544,0.2857,0.1597,0.85
8,-2.8895,50,0,-3.2897,2.1142,0.25,0.1604,1.01
9,-3.3252,50,0,-3.2936,1.9933,0.2222,0.1653,1.17
10,-9.3756,50,0,-3.9018,2.6277,0.2,0.1582,1.33
11,-3.9898,50,0,-3.9098,2.5056,0.1818,0.1685,1.5
12,-3.2258,50,0,-3.8528,2.4063,0.1667,0.1591,1.66
13,-2.5353,50,0,-3.7515,2.3384,0.1538,0.1734,1.83
14,-5.2852,50,0,-3.861,2.2877,0.1429,0.1703,2.0
15,-4.6621,49,1,-3.9144,2.2192,0.2,0.1505,2.15
16,-3.9447,50,0,-3.9163,2.1487,0.1875,0.1582,2.31
17,-5.5406,50,0,-4.0119,2.1193,0.1765,0.1808,2.49
18,-5.8063,50,0,-4.1115,2.1002,0.1667,0.1528,2.64
19,-4.4833,50,0,-4.1311,2.0459,0.1579,0.1645,2.81
20,-3.7419,50,0,-4.1117,1.9959,0.15,0.1724,2.98
21,-6.2464,50,0,-4.2133,2.0001,0.1429,0.1798,3.16
22,-4.1583,50,0,-4.2108,1.9542,0.1364,0.1567,3.32
23,-6.7105,50,0,-4.3195,1.978,0.1304,0.1492,3.47
24,-6.0961,50,0,-4.3935,1.9687,0.125,0.163,3.63
25,-4.0612,50,0,-4.3802,1.93,0.12,0.1542,3.78
26,-5.3309,50,0,-4.4168,1.9013,0.1154,0.174,3.96
27,-7.3721,50,0,-4.5262,1.9475,0.1111,0.1588,4.12
28,-3.3369,50,0,-4.4838,1.9251,0.1071,0.1564,4.27
29,-4.0659,50,0,-4.4694,1.8931,0.1034,0.1965,4.47
30,-4.1139,50,0,-4.4575,1.8624,0.1,0.172,4.64
31,-4.9344,50,0,-4.4729,1.8341,0.0968,0.1793,4.82
32,-3.7384,50,0,-4.4499,1.8097,0.0938,0.1501,4.97
33,-2.948,50,0,-4.4044,1.8006,0.0909,0.1454,5.11
34,-3.7166,50,0,-4.3842,1.7777,0.0882,0.1543,5.27
35,-5.1563,50,0,-4.4063,1.7568,0.0857,0.1518,5.42
36,-0.0135,1,1,-4.2842,1.8767,0.1111,0.0042,5.43
37,-5.2278,50,0,-4.3097,1.8574,0.1081,0.1427,5.57
38,-6.4207,50,0,-4.3653,1.8637,0.1053,0.1768,5.74
39,-5.3349,50,0,-4.3902,1.846,0.1026,0.1358,5.88
40,-0.0414,1,1,-4.2814,1.9452,0.125,0.0032,5.88
41,-5.2686,50,0,-4.3055,1.9273,0.122,0.1774,6.06
42,-3.0256,50,0,-4.275,1.9142,0.119,0.17,6.23
43,-5.5731,50,0,-4.3052,1.9019,0.1163,0.1719,6.4
44,-3.9787,50,0,-4.2978,1.8808,0.1136,0.1682,6.57
45,-0.04,1,1,-4.2032,1.9628,0.1333,0.0063,6.58
46,-4.9669,50,0,-4.2198,1.9446,0.1304,0.1586,6.74
47,-0.0342,1,1,-4.1307,2.0164,0.1489,0.004,6.74
48,-2.7863,50,0,-4.1027,2.0045,0.1458,0.1718,6.91
49,-0.0346,1,1,-4.0197,2.0656,0.1633,0.0078,6.92
50,-3.3824,50,0,-4.007,2.0468,0.16,0.1656,7.09
51,-9.2863,50,0,-4.1105,2.1548,0.1569,0.1482,7.23
52,-4.1153,50,0,-4.1106,2.1339,0.1538,0.1623,7.4
53,-3.1621,50,0,-4.0927,2.1176,0.1509,0.1782,7.57
54,-2.88,50,0,-4.0702,2.1043,0.1481,0.1559,7.73
55,-4.6891,50,0,-4.0815,2.0867,0.1455,0.1463,7.88
56,-4.8144,50,0,-4.0946,2.0703,0.1429,0.1557,8.03
57,-0.0499,1,1,-4.0236,2.1196,0.1579,0.0074,8.04
58,-8.9805,50,0,-4.1091,2.1981,0.1552,0.1614,8.2
59,-4.8194,50,0,-4.1211,2.1813,0.1525,0.1637,8.36
60,-5.6592,50,0,-4.1467,2.172,0.15,0.16,8.52
61,-4.4688,50,0,-4.152,2.1545,0.1475,0.2027,8.73
62,-4.6401,50,0,-4.1599,2.138,0.1452,0.1705,8.9
63,-5.0829,50,0,-4.1745,2.1241,0.1429,0.147,9.04
64,-4.4923,50,0,-4.1795,2.1078,0.1406,0.1536,9.2
65,-3.718,50,0,-4.1724,2.0923,0.1385,0.1832,9.38
66,-0.0388,1,1,-4.1098,2.1369,0.1515,0.0025,9.38
67,-4.9717,50,0,-4.1226,2.1235,0.1493,0.1561,9.54
68,-0.0201,1,1,-4.0623,2.1649,0.1618,0.004,9.54
69,-2.7285,50,0,-4.043,2.155,0.1594,0.1672,9.71
70,-3.103,50,0,-4.0295,2.1425,0.1571,0.1476,9.86
71,-5.3405,50,0,-4.048,2.1329,0.1549,0.1505,10.01
72,-4.6274,50,0,-4.0561,2.1192,0.1528,0.1494,10.16
73,-1.3395,23,1,-4.0188,2.1281,0.1644,0.0813,10.24
74,-4.7858,50,0,-4.0292,2.1156,0.1622,0.1734,10.41
75,-3.4549,50,0,-4.0216,2.1025,0.16,0.1814,10.59
76,-5.4738,50,0,-4.0407,2.0951,0.1579,0.1585,10.75
77,-3.6031,50,0,-4.035,2.0821,0.1558,0.1616,10.92
78,-5.1163,50,0,-4.0488,2.0722,0.1538,0.1662,11.08
79,-4.8825,50,0,-4.0594,2.0612,0.1519,0.1958,11.28
80,-0.0217,1,1,-4.0089,2.0968,0.1625,0.0034,11.28
81,-0.0251,1,1,-3.9597,2.1298,0.1728,0.0082,11.29
82,-3.9357,50,0,-3.9594,2.1167,0.1707,0.174,11.46
83,-5.4757,50,0,-3.9777,2.1104,0.1687,0.1592,11.62
84,-5.4919,50,0,-3.9957,2.1043,0.1667,0.1581,11.78
85,-0.0475,1,1,-3.9493,2.1347,0.1765,0.006,11.79
86,-4.4149,50,0,-3.9547,2.1229,0.1744,0.1487,11.93
87,-4.9382,50,0,-3.966,2.1132,0.1724,0.1631,12.1
88,-3.7321,50,0,-3.9633,2.1013,0.1705,0.1799,12.28
89,-3.8452,50,0,-3.962,2.0895,0.1685,0.1748,12.45
90,-5.038,50,0,-3.974,2.081,0.1667,0.1572,12.61
91,-8.5985,50,0,-4.0248,2.1249,0.1648,0.1589,12.77
92,-5.5621,50,0,-4.0415,2.1193,0.163,0.1752,12.94
93,-4.2962,50,0,-4.0442,2.1081,0.1613,0.1662,13.11
94,-3.4643,50,0,-4.0381,2.0977,0.1596,0.1569,13.27
95,-0.0388,1,1,-3.996,2.1261,0.1684,0.0035,13.27
96,-0.0299,1,1,-3.9547,2.153,0.1771,0.0033,13.27
97,-2.6148,50,0,-3.9409,2.1462,0.1753,0.1475,13.42
98,-5.247,50,0,-3.9542,2.1392,0.1735,0.1455,13.57
99,-4.9123,50,0,-3.9639,2.1306,0.1717,0.1742,13.74
100,-3.643,50,0,-3.9606,2.1201,0.17,0.1503,13.89
101,-0.0472,1,1,-3.9228,2.1556,0.18,0.0093,13.9
102,-4.016,50,0,-3.9626,2.12,0.17,0.1714,14.07
103,-2.9331,50,0,-3.9914,2.0859,0.16,0.1725,14.24
104,-0.0447,1,1,-3.9422,2.1201,0.17,0.0036,14.25
105,-5.4236,50,0,-3.9396,2.1181,0.17,0.1738,14.42
106,-3.131,50,0,-3.9141,2.1124,0.17,0.1831,14.6
107,-4.2667,50,0,-3.925,2.1114,0.17,0.157,14.76
108,-2.8822,50,0,-3.9249,2.1114,0.17,0.1595,14.92
109,-4.9054,50,0,-3.9407,2.1128,0.17,0.2248,15.15
110,-7.0118,50,0,-3.9171,2.0645,0.17,0.1575,15.3
111,-2.9335,50,0,-3.9065,2.0668,0.17,0.1653,15.47
112,-2.9684,50,0,-3.9039,2.0678,0.17,0.1555,15.62
113,-4.7978,50,0,-3.9266,2.0651,0.17,0.1516,15.78
114,-5.8234,50,0,-3.932,2.0693,0.17,0.1552,15.93
115,-9.7284,50,0,-3.9826,2.1471,0.16,0.179,16.11
116,-0.0265,1,1,-3.9434,2.1829,0.17,0.0038,16.11
117,-0.0408,1,1,-3.8884,2.2111,0.18,0.0067,16.12
118,-8.6474,50,0,-3.9168,2.2534,0.18,0.1675,16.29
119,-2.5561,50,0,-3.8976,2.2567,0.18,0.1792,16.47
120,-5.0796,50,0,-3.911,2.2597,0.18,1.7029,18.17
121,-3.4738,50,0,-3.8832,2.2478,0.18,2.0445,20.21
122,-3.8339,50,0,-3.88,2.2477,0.18,2.0533,22.27
123,-4.5754,50,0,-3.8586,2.2308,0.18,2.0401,24.31
124,-4.6319,50,0,-3.844,2.2208,0.18,2.0591,26.37
125,-2.9192,32,1,-3.8326,2.2226,0.19,1.2957,27.66
126,-2.8255,50,0,-3.8075,2.2197,0.19,2.0686,29.73
127,-0.0435,1,1,-3.7342,2.2218,0.2,0.0436,29.78
128,-4.9901,50,0,-3.7508,2.2249,0.2,2.2314,32.01
129,-4.1514,50,0,-3.7516,2.225,0.2,2.1831,34.19
130,-6.1797,50,0,-3.7723,2.2379,0.2,2.1881,36.38
131,-4.3647,50,0,-3.7666,2.2356,0.2,2.1541,38.53
132,-3.7844,50,0,-3.767,2.2356,0.2,2.032,40.56
133,-0.0301,1,1,-3.7379,2.265,0.21,0.0469,40.61
134,-9.8741,50,0,-3.7994,2.3458,0.21,2.0486,42.66
135,-4.7238,50,0,-3.7951,2.3437,0.21,2.0868,44.75
136,-3.6574,50,0,-3.8315,2.3127,0.2,2.034,46.78
137,-7.291,50,0,-3.8522,2.3342,0.2,2.0068,48.79
138,-0.0411,1,1,-3.7884,2.3503,0.21,0.0418,48.83
139,-5.5132,50,0,-3.7902,2.3515,0.21,2.1366,50.97
140,-2.7926,50,0,-3.8177,2.3234,0.2,2.0407,53.01
141,-5.9881,50,0,-3.8249,2.329,0.2,2.0329,55.04
142,-3.9889,50,0,-3.8345,2.3277,0.2,2.2788,57.32
143,-3.0878,50,0,-3.8097,2.3222,0.2,2.1035,59.42
144,-3.1273,50,0,-3.8011,2.3232,0.2,2.0158,61.44
145,-5.3905,50,0,-3.8546,2.2974,0.19,2.0433,63.48
146,-4.3695,50,0,-3.8487,2.2953,0.19,2.1071,65.59
147,-6.8961,50,0,-3.9173,2.2827,0.18,2.1093,67.7
148,-5.0262,50,0,-3.9397,2.2825,0.18,2.1767,69.87
149,-4.3356,50,0,-3.9827,2.2488,0.17,2.1763,72.05
150,-0.0475,1,1,-3.9493,2.2819,0.18,0.0432,72.09
151,-0.0265,1,1,-3.8567,2.2512,0.19,0.0427,72.14
152,-4.2922,50,0,-3.8585,2.2514,0.19,2.165,74.3
153,-3.366,50,0,-3.8606,2.2509,0.19,2.2315,76.53
154,-1.1865,16,1,-3.8436,2.2645,0.2,0.6848,77.22
155,-9.9269,50,0,-3.896,2.3427,0.2,2.1772,79.39
156,-4.6187,50,0,-3.894,2.342,0.2,2.158,81.55
157,-3.5015,50,0,-3.9286,2.3103,0.19,2.1943,83.75
158,-0.0072,1,1,-3.8388,2.2865,0.2,0.0437,83.79
159,-4.8951,50,0,-3.8396,2.2869,0.2,2.1511,85.94
160,-5.1466,50,0,-3.8345,2.2833,0.2,2.1271,88.07
161,-4.1741,50,0,-3.8315,2.2827,0.2,2.2035,90.27
162,-2.5712,50,0,-3.8108,2.2847,0.2,2.2577,92.53
163,-2.6572,50,0,-3.7866,2.2839,0.2,2.1763,94.71
164,-4.6085,50,0,-3.7877,2.2843,0.2,2.2097,96.92
165,-5.6545,50,0,-3.8071,2.2918,0.2,2.2237,99.14
166,-0.0202,1,1,-3.8069,2.2921,0.2,0.0517,99.19
167,-10.5294,50,0,-3.8625,2.3852,0.2,2.3886,101.58
168,-4.3675,50,0,-3.906,2.3542,0.19,2.2496,103.83
169,-4.8537,50,0,-3.9272,2.353,0.19,2.2482,106.08
170,-5.3654,50,0,-3.9498,2.3559,0.19,2.2257,108.3
171,-2.9277,50,0,-3.9257,2.3539,0.19,2.2777,110.58
172,-3.5805,50,0,-3.9152,2.3531,0.19,2.1798,112.76
173,-6.2487,50,0,-3.9643,2.35,0.18,2.2008,114.96
174,-0.0405,1,1,-3.9169,2.3807,0.19,0.0428,115.0
175,-3.5135,50,0,-3.9175,2.3806,0.19,2.2994,117.3
176,-4.4305,50,0,-3.907,2.376,0.19,2.293,119.6
177,-5.0447,50,0,-3.9214,2.3785,0.19,2.1791,121.78
178,-5.4694,50,0,-3.925,2.3805,0.19,2.1563,123.93
179,-3.089,50,0,-3.907,2.38,0.19,2.3263,126.26
180,-4.8949,50,0,-3.9558,2.3496,0.18,2.1338,128.39
181,-4.3106,50,0,-3.9986,2.3164,0.17,2.1976,130.59
182,-6.1213,50,0,-4.0205,2.326,0.17,2.178,132.77
183,-3.7273,50,0,-4.003,2.3215,0.17,2.1816,134.95
184,-4.8966,50,0,-3.997,2.3185,0.17,2.3049,137.25
185,-5.8835,50,0,-4.0554,2.2916,0.16,2.2344,139.49
186,-5.2905,50,0,-4.0642,2.2947,0.16,2.1754,141.66
187,-5.0737,50,0,-4.0655,2.2952,0.16,2.1695,143.83
188,-2.5065,50,0,-4.0533,2.3002,0.16,2.2394,146.07
189,-4.1102,50,0,-4.0559,2.3001,0.16,1.9939,148.07
190,-5.1108,50,0,-4.0566,2.3005,0.16,2.0441,150.11
191,-2.5327,50,0,-3.996,2.2595,0.16,2.0524,152.16
192,-3.1455,50,0,-3.9718,2.2555,0.16,1.9854,154.15
193,-0.0434,1,1,-3.9293,2.2889,0.17,0.0523,154.2
194,-4.7431,50,0,-3.9421,2.2898,0.17,2.0072,156.21
195,-0.0457,1,1,-3.9421,2.2897,0.17,0.0483,156.26
196,-0.0464,1,1,-3.9423,2.2894,0.17,0.0399,156.3
197,-6.5138,50,0,-3.9813,2.2997,0.17,2.0189,158.32
198,-4.9091,50,0,-3.9779,2.298,0.17,1.9906,160.31
199,-0.0327,1,1,-3.9291,2.3293,0.18,0.0372,160.34
200,-4.0987,50,0,-3.9337,2.3292,0.18,2.0066,162.35
201,-4.9566,50,0,-3.9828,2.2983,0.17,2.2487,164.6
202,-0.0461,1,1,-3.9431,2.3314,0.18,0.0471,164.65
203,-5.1025,50,0,-3.9648,2.332,0.18,2.1729,166.82
204,-5.2762,50,0,-4.0171,2.3019,0.17,2.1827,169.0
205,-3.8267,50,0,-4.0011,2.2977,0.17,2.1973,171.2
206,-4.0677,50,0,-4.0105,2.296,0.17,2.198,173.4
207,-0.023,1,1,-3.968,2.3298,0.18,0.0466,173.44
208,-5.4049,50,0,-3.9933,2.3316,0.18,2.1421,175.59
209,-3.671,50,0,-3.9809,2.33,0.18,2.0157,177.6
210,-4.5821,50,0,-3.9566,2.3109,0.18,2.0366,179.64
211,-0.0161,1,1,-3.9275,2.3418,0.19,0.0398,179.68
212,-0.0393,1,1,-3.8982,2.3717,0.2,0.0444,179.72
213,-2.6055,50,0,-3.8762,2.3735,0.2,2.1886,181.91
214,-0.0069,1,1,-3.8181,2.3962,0.21,0.0548,181.96
215,-3.5968,50,0,-3.7568,2.3215,0.21,2.2988,184.26
216,-4.7023,50,0,-3.8035,2.2928,0.2,2.2052,186.47
217,-2.7298,50,0,-3.8304,2.2641,0.19,2.1064,188.58
218,-4.0959,50,0,-3.7849,2.2119,0.19,2.1041,190.68
219,-4.3395,50,0,-3.8027,2.2091,0.19,2.321,193.0
220,-4.6008,50,0,-3.7979,2.2069,0.19,2.283,195.28
221,-4.5351,50,0,-3.8086,2.2078,0.19,2.1902,197.47
222,-4.777,50,0,-3.818,2.2099,0.19,2.1762,199.65
223,-5.5022,50,0,-3.8273,2.215,0.19,2.2131,201.86
224,-2.6384,50,0,-3.8073,2.2167,0.19,2.1504,204.01
225,-0.0496,1,1,-3.7786,2.2464,0.19,0.0433,204.06
226,-4.2123,50,0,-3.7925,2.2447,0.19,1.9949,206.05
227,-4.31,50,0,-3.8352,2.2134,0.18,2.0431,208.09
228,-5.0975,50,0,-3.8362,2.214,0.18,2.0842,210.18
229,-5.3827,50,0,-3.8485,2.2191,0.18,2.2776,212.46
230,-3.8867,50,0,-3.8256,2.2067,0.18,2.1848,214.64
231,-4.0431,50,0,-3.8224,2.2062,0.18,2.2959,216.94
232,-4.351,50,0,-3.8281,2.2068,0.18,2.1975,219.13
233,-4.7138,50,0,-3.8749,2.1751,0.17,2.2189,221.35
234,-4.3472,50,0,-3.8196,2.0906,0.17,2.3706,223.72
235,-0.0462,1,1,-3.7729,2.1219,0.18,0.0534,223.78
236,-4.8906,50,0,-3.7852,2.1248,0.18,2.2563,226.03
237,-5.3761,50,0,-3.766,2.1016,0.18,2.3251,228.36
238,-0.0315,1,1,-3.7659,2.1018,0.18,0.044,228.4
239,-3.1818,50,0,-3.7426,2.0952,0.18,2.372,230.78
240,-4.1971,50,0,-3.7567,2.0935,0.18,3.3299,234.11
