episode,center,delta
100,0.949,0.1
200,0.8959999999999999,0.1
300,0.8469999999999999,0.1
400,0.7979999999999998,0.1
500,0.7529999999999998,0.1
600,0.7089999999999997,0.1
700,0.6619999999999997,0.1
800,0.6239999999999997,0.1
900,0.6,0.1
1000,0.6,0.1
1100,0.6,0.1
1200,0.6,0.1
1300,0.6,0.1
1400,0.6,0.1
1500,0.6,0.1
1600,0.6,0.1
1700,0.6,0.1
1800,0.6,0.1
1900,0.6,0.1
2000,0.6,0.1
2100,0.6,0.1
2200,0.6,0.1
2300,0.601,0.25
2400,0.608,0.4
2500,0.619,0.519
2600,0.631,0.531
2700,0.644,0.544
2800,0.66,0.56
2900,0.679,0.5790000000000001
3000,0.6930000000000001,0.5930000000000001
3100,0.7040000000000001,0.6040000000000001
3200,0.7220000000000001,0.6220000000000001
3300,0.7430000000000001,0.6430000000000001
3400,0.7610000000000001,0.6610000000000001
3500,0.7780000000000001,0.6780000000000002
3600,0.7990000000000002,0.6990000000000002
3700,0.8240000000000002,0.7240000000000002
3800,0.8420000000000002,0.7420000000000002
3900,0.8650000000000002,0.7650000000000002
4000,0.8850000000000002,0.7850000000000003
4100,0.9090000000000003,0.8090000000000003
4200,0.9310000000000003,0.8310000000000003
4300,0.9560000000000003,0.8560000000000003
4400,0.9770000000000003,0.8770000000000003
4500,1.0020000000000002,0.9020000000000002
4600,1.0220000000000002,0.9220000000000003
4700,1.0490000000000002,0.9490000000000002
4800,1.074,0.9740000000000001
4900,1.093,0.993
5000,1.123,1.023
5100,1.146,1.0459999999999998
5200,1.1649999999999998,1.0649999999999997
5300,1.1919999999999997,1.0919999999999996
5400,1.2129999999999996,1.1129999999999995
5500,1.2389999999999997,1.1389999999999996
5600,1.2649999999999997,1.1649999999999996
5700,1.2909999999999997,1.1909999999999996
5800,1.3189999999999997,1.2189999999999996
5900,1.3449999999999998,1.2449999999999997
6000,1.3709999999999998,1.2709999999999997
6100,1.4009999999999998,1.3009999999999997
6200,1.4309999999999998,1.3309999999999997
6300,1.4569999999999999,1.3569999999999998
6400,1.4859999999999998,1.3859999999999997
6500,1.5109999999999997,1.4109999999999996
6600,1.5389999999999997,1.4389999999999996
6700,1.5659999999999996,1.4659999999999995
6800,1.5899999999999996,1.4899999999999995
6900,1.6179999999999997,1.5179999999999996
7000,1.6449999999999996,1.5449999999999995
7100,1.6739999999999995,1.5739999999999994
7200,1.7019999999999995,1.6019999999999994
7300,1.7289999999999994,1.6289999999999993
7400,1.7579999999999993,1.6579999999999993
7500,1.7859999999999994,1.6859999999999993
7600,1.8129999999999993,1.7129999999999992
7700,1.8419999999999992,1.741999999999999
7800,1.8679999999999992,1.7679999999999991
7900,1.8959999999999992,1.7959999999999992
8000,1.9249999999999992,1.824999999999999
8100,1.953999999999999,1.853999999999999
8200,1.981999999999999,1.881999999999999
8300,2.011999999999999,1.911999999999999
8400,2.039999999999999,1.939999999999999
8500,2.068999999999999,1.968999999999999
8600,2.092999999999999,1.992999999999999
8700,2.120999999999999,2.020999999999999
8800,2.149999999999999,2.049999999999999
8900,2.177999999999999,2.077999999999999
9000,2.205999999999999,2.105999999999999
9100,2.234999999999999,2.134999999999999
9200,2.262999999999999,2.162999999999999
9300,2.288999999999999,2.1889999999999987
